Source Category,URL,Title,Product Code,Brand,Dimensions (HxDia),Discharge Range,Discharge Time,Operating Temperature,Working Pressure,Weight,Product Datasheets,Image File,Alternative Product Codes,Storage Temperature,Warranty,Capacity,Discharge Range (min),Extinguisher Agent,Dielectrical Test,1 unit,2+ units,5+ units,Dimensions (HxWxDia),Temperature Range,Operating Pressure,Dimensions (HxWxD),Extinguisher ID Sign,Approvals,Extinguisher Contents,Dimensions,Empty Weight,Fire Rating,Hose Length,Maximum Allowable Pressure,Test Pressure,Extinguisher Rating,Manufacturer Part Number,Minimum Burst Pressure,Weight (inc. Cylinder),Kit Contents,Component,"""First Aid in an Emergency"" booklet",Cleansing Wipes,Waterproof Low Allergy Plasters – Pk 10,Disposable Non-Sterile Triangular Bandage 90 x 90 x130cm,HSE Medium Dressing – 12 x 12cm,HSE Large Dressing – 18 x 18cm,SJS Nitrile Powder Free Gloves (pair) – Medium,St. John Ambulance Finger Dressing,Extinguisher Ratings,Case Dimensions (HxWxD),Weave,Dimensions (HxW),Space volume suitable for,Back-Up Battery,Input Voltage,Relative Humidity,Activation Alerts,Detection,Extinguishing Agent,Fire Control Area,Fire Suppression Area,Installation Time,Legionella Control,External Dimensions (HxWxD),Internal Dimensions (HxWxD),Number of Fire Resistant Pads,Battery Suitability,Fabric Weight,Fire Type Suitability,Independent Testing,Internal Exposure Test,Lifespan,Material,Maximum Temperature,PFAS-Free,Certification,Number of Sockets,Door Swing,Handle Depth,Shelves,Construction,Dimensions (HxL),Item,Waterproof Low Allergy Plasters - Pk 10,HSE Medium Dressing - 12 x 12cm,HSE Large Dressing - 18 x 18cm,SJS Nitrile Powder Free Gloves (pair) - Medium,Medium Dressing 12x12cm,Traumafix Dressing 10x18cm,Low-Adherent Dressing 7.5x7.5cm,Triangular Bandage,Washproof Plasters (assorted) 10pk,Sterile Moist Cleansing Wipes 10pk,Nitrile Powder Free Gloves (pair),Revive-aid (Resuscitation mask with valve),Disposable Heat Retaining Foil Blanket,Burnshield® Burns Dressing 10x10cm,Tuff-Kut Scissors,"""First Aid in an Emergency"" Booklet",Burnshield® Burn Blott sachets (3.5g),Sterile Cleansing Wipes,HSE Medium Dressing (12 x 12cm),HSE Large Dressing (18 x 18cm),Resuscitation Face Shield,Green Plastic Tweezers,Microporous Tape (1.25cm x 10m),No. 16 Sterile Eye Pad Dressing,Non-Sterile Triangular Bandage (90 x 90 x 130cm),Eye Wash Phials (20ml),Dimensions (L),Max. Extinguisher Dimensions,Suitability,Recyclable
Water Extinguishers,https://www.safelincs.co.uk/ultrafire-9ltr-water-fire-extinguisher/,9ltr Water Fire Extinguisher - UltraFire,UFSW9,UltraFire,,5-6 metres,55 seconds,5°C to 60°C,12 bar,13.50kg,UltraFire Water Fire Extinguishers Datasheet V1.5,9ltr Water Fire Extinguisher  UltraFire.jpg,"JWSWFEX9S,, 9WX",,,9 litre,,Water,,,,,580 x 193 x 183mm,,,,,,,,,,,,,21A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/ultrafire-9ltr-water-fire-extinguisher/,9ltr Water Fire Extinguisher - UltraFire,UFSW9,UltraFire,,5-6 metres,55 seconds,5°C to 60°C,12 bar,13.50kg,UltraFire Water Fire Extinguishers Datasheet V1.5,9ltr Water Fire Extinguisher  UltraFire.jpg,"JWSWFEX9S,, 9WX",,,9 litre,,Water,,,,,580 x 193 x 183mm,,,,,,,,,,,,,21A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/product_reviews.php?pid=1634,9ltr Water Fire Extinguisher - UltraFire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/ultrafire-9ltr-water-fire-extinguisher/,9ltr Water Fire Extinguisher - UltraFire,UFSW9,UltraFire,,5-6 metres,55 seconds,5°C to 60°C,12 bar,13.50kg,UltraFire Water Fire Extinguishers Datasheet V1.5,9ltr Water Fire Extinguisher  UltraFire.jpg,"JWSWFEX9S,, 9WX",,,9 litre,,Water,,,,,580 x 193 x 183mm,,,,,,,,,,,,,21A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/3-litre-water-mist-fire-extinguisher-ultrafire/,3ltr Water Mist Fire Extinguisher - UltraFire,UFSWM3,UltraFire,525 x 161mm,,28 sec,0°C to +60°C,12 bar,6.70kg,"UltraFire Water Mist Extinguishers Datasheet - DOC 1062 - V2.6 - Source File
            
              
  
  

UltraFire Water Mist Extinguishers MSDS V1.0",3ltr Water Mist Fire Extinguisher  UltraFire.jpg,"JWSWMFEX3S, 3WMX",,,3 litre,2.1 metres,De-ionised Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/3-litre-water-mist-fire-extinguisher-ultrafire/,3ltr Water Mist Fire Extinguisher - UltraFire,UFSWM3,UltraFire,525 x 161mm,,28 sec,0°C to +60°C,12 bar,6.70kg,"UltraFire Water Mist Extinguishers Datasheet - DOC 1062 - V2.6 - Source File
            
              
  
  

UltraFire Water Mist Extinguishers MSDS V1.0",3ltr Water Mist Fire Extinguisher  UltraFire.jpg,"JWSWMFEX3S, 3WMX",,,3 litre,2.1 metres,De-ionised Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/product_reviews.php?pid=3497,3ltr Water Mist Fire Extinguisher - UltraFire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/3-litre-water-mist-fire-extinguisher-ultrafire/,3ltr Water Mist Fire Extinguisher - UltraFire,UFSWM3,UltraFire,525 x 161mm,,28 sec,0°C to +60°C,12 bar,6.70kg,"UltraFire Water Mist Extinguishers Datasheet - DOC 1062 - V2.6 - Source File
            
              
  
  

UltraFire Water Mist Extinguishers MSDS V1.0",3ltr Water Mist Fire Extinguisher  UltraFire.jpg,"JWSWMFEX3S, 3WMX",,,3 litre,2.1 metres,De-ionised Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/britannia-9ltr-water-fire-extinguisher/,9ltr Water Fire Extinguisher - Britannia,BEBX9W,Britannia Fire,585x190mm,,72 seconds,+5 °C to +60 °C,12 Bar at 20 °C,14.20kg,Britannia 9ltr Water Extinguisher Datasheet,9ltr Water Fire Extinguisher  Britannia.jpg,,,,9ltr,6 metres,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/britannia-9ltr-water-fire-extinguisher/,9ltr Water Fire Extinguisher - Britannia,BEBX9W,Britannia Fire,585x190mm,,72 seconds,+5 °C to +60 °C,12 Bar at 20 °C,14.20kg,Britannia 9ltr Water Extinguisher Datasheet,9ltr Water Fire Extinguisher  Britannia.jpg,,,,9ltr,6 metres,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/product_reviews.php?pid=2981,9ltr Water Fire Extinguisher - Britannia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/britannia-9ltr-water-fire-extinguisher/,9ltr Water Fire Extinguisher - Britannia,BEBX9W,Britannia Fire,585x190mm,,72 seconds,+5 °C to +60 °C,12 Bar at 20 °C,14.20kg,Britannia 9ltr Water Extinguisher Datasheet,9ltr Water Fire Extinguisher  Britannia.jpg,,,,9ltr,6 metres,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/stainless-steel-9ltr-water-fire-extinguisher/,Stainless Steel 9ltr Water Fire Extinguisher,HSWSEX9SS,FireChief,620x182mm,,20 sec.,0°C to +60°C,14,12.89kg,Firechief Stainless Steel 9ltr Water Data Sheet,Stainless Steel 9ltr Water Fire Extinguisher.jpg,,,,9 litre,4 metres,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/stainless-steel-9ltr-water-fire-extinguisher/,Stainless Steel 9ltr Water Fire Extinguisher,HSWSEX9SS,FireChief,620x182mm,,20 sec.,0°C to +60°C,14,12.89kg,Firechief Stainless Steel 9ltr Water Data Sheet,Stainless Steel 9ltr Water Fire Extinguisher.jpg,,,,9 litre,4 metres,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/write_review.php?pid=1106,Stainless Steel 9ltr Water Fire Extinguisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/stainless-steel-9ltr-water-fire-extinguisher/,Stainless Steel 9ltr Water Fire Extinguisher,HSWSEX9SS,FireChief,620x182mm,,20 sec.,0°C to +60°C,14,12.89kg,Firechief Stainless Steel 9ltr Water Data Sheet,Stainless Steel 9ltr Water Fire Extinguisher.jpg,,,,9 litre,4 metres,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/ultrafire-3ltr-water-with-additive-fire-extinguisher/,3ltr Water Fire Extinguisher with Additive - UltraFire,UFSWA3-DF,UltraFire,435 x 140mm,,22 sec,5°C to 60°C,12 bar,5.50kg,"UltraFire Water Additive Extinguishers MSDS
            
              
  
  

UltraFire Water Datasheet",3ltr Water Fire Extinguisher with Additive  UltraFire.jpg,JWSWAFEX3S,,,3 litre,6 metre,Water with Additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/ultrafire-3ltr-water-with-additive-fire-extinguisher/,3ltr Water Fire Extinguisher with Additive - UltraFire,UFSWA3-DF,UltraFire,435 x 140mm,,22 sec,5°C to 60°C,12 bar,5.50kg,"UltraFire Water Additive Extinguishers MSDS
            
              
  
  

UltraFire Water Datasheet",3ltr Water Fire Extinguisher with Additive  UltraFire.jpg,JWSWAFEX3S,,,3 litre,6 metre,Water with Additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/product_reviews.php?pid=1221,3ltr Water Fire Extinguisher with Additive - UltraFire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/ultrafire-3ltr-water-with-additive-fire-extinguisher/,3ltr Water Fire Extinguisher with Additive - UltraFire,UFSWA3-DF,UltraFire,435 x 140mm,,22 sec,5°C to 60°C,12 bar,5.50kg,"UltraFire Water Additive Extinguishers MSDS
            
              
  
  

UltraFire Water Datasheet",3ltr Water Fire Extinguisher with Additive  UltraFire.jpg,JWSWAFEX3S,,,3 litre,6 metre,Water with Additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/ultrafire-6ltr-water-with-additive-fire-extinguisher/,6ltr Water Fire Extinguisher with Additive - UltraFire,UFSWA6,UltraFire,,,31 sec,5°C to 60°C,12 bar,9.30kg,"UltraFire Water Additive Extinguishers MSDS
            
              
  
  

UltraFire Water Datasheet",6ltr Water Fire Extinguisher with Additive  UltraFire.jpg,JWSWAFEX6S,,,6 litre,5-6 metres,Water with Additive,,,,,520 x 161 x 181mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/ultrafire-6ltr-water-with-additive-fire-extinguisher/,6ltr Water Fire Extinguisher with Additive - UltraFire,UFSWA6,UltraFire,,,31 sec,5°C to 60°C,12 bar,9.30kg,"UltraFire Water Additive Extinguishers MSDS
            
              
  
  

UltraFire Water Datasheet",6ltr Water Fire Extinguisher with Additive  UltraFire.jpg,JWSWAFEX6S,,,6 litre,5-6 metres,Water with Additive,,,,,520 x 161 x 181mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/ultrafire-9ltr-water-fire-extinguisher/,9ltr Water Fire Extinguisher - UltraFire,UFSW9,UltraFire,,5-6 metres,55 seconds,5°C to 60°C,12 bar,13.50kg,UltraFire Water Fire Extinguishers Datasheet V1.5,9ltr Water Fire Extinguisher  UltraFire.jpg,"JWSWFEX9S,, 9WX",,,9 litre,,Water,,,,,580 x 193 x 183mm,,,,,,,,,,,,,21A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/write_review.php?pid=3716,6ltr Water Fire Extinguisher with Additive - UltraFire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/ultrafire-6ltr-water-with-additive-fire-extinguisher/,6ltr Water Fire Extinguisher with Additive - UltraFire,UFSWA6,UltraFire,,,31 sec,5°C to 60°C,12 bar,9.30kg,"UltraFire Water Additive Extinguishers MSDS
            
              
  
  

UltraFire Water Datasheet",6ltr Water Fire Extinguisher with Additive  UltraFire.jpg,JWSWAFEX6S,,,6 litre,5-6 metres,Water with Additive,,,,,520 x 161 x 181mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/6ltr-water-additive-extinguisher-thomas-glover-powerx/,6ltr Water Fire Extinguisher with Additive - UltraFire,UFSWA6,UltraFire,,,31 sec,5°C to 60°C,12 bar,9.30kg,"UltraFire Water Additive Extinguishers MSDS
            
              
  
  

UltraFire Water Datasheet",6ltr Water Fire Extinguisher with Additive  UltraFire.jpg,JWSWAFEX6S,,,6 litre,5-6 metres,Water with Additive,,,,,520 x 161 x 181mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/6ltr-water-additive-extinguisher-thomas-glover-powerx/,6ltr Water Fire Extinguisher with Additive - UltraFire,UFSWA6,UltraFire,,,31 sec,5°C to 60°C,12 bar,9.30kg,"UltraFire Water Additive Extinguishers MSDS
            
              
  
  

UltraFire Water Datasheet",6ltr Water Fire Extinguisher with Additive  UltraFire.jpg,JWSWAFEX6S,,,6 litre,5-6 metres,Water with Additive,,,,,520 x 161 x 181mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/ultrafire-9ltr-water-fire-extinguisher/,9ltr Water Fire Extinguisher - UltraFire,UFSW9,UltraFire,,5-6 metres,55 seconds,5°C to 60°C,12 bar,13.50kg,UltraFire Water Fire Extinguishers Datasheet V1.5,9ltr Water Fire Extinguisher  UltraFire.jpg,"JWSWFEX9S,, 9WX",,,9 litre,,Water,,,,,580 x 193 x 183mm,,,,,,,,,,,,,21A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/write_review.php?pid=5175,6ltr Water Additive Fire Extinguisher - Thomas Glover PowerX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Extinguishers,https://www.safelincs.co.uk/6ltr-water-additive-extinguisher-thomas-glover-powerx/,6ltr Water Fire Extinguisher with Additive - UltraFire,UFSWA6,UltraFire,,,31 sec,5°C to 60°C,12 bar,9.30kg,"UltraFire Water Additive Extinguishers MSDS
            
              
  
  

UltraFire Water Datasheet",6ltr Water Fire Extinguisher with Additive  UltraFire.jpg,JWSWAFEX6S,,,6 litre,5-6 metres,Water with Additive,,,,,520 x 161 x 181mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foam Extinguishers,https://www.safelincs.co.uk/britannia-6ltr-fluoro-free-foam/,P50 Fluorine-Free A-Foam Service-Free Fire Extinguisher,BEFW6EFAS,Britannia Fire,570 x 178mm,,,+5 °C to +60 °C,,8.50kg,P50 A-Foam Fluorine-Free Service-Free Fire Extinguisher Datasheet,P50 FluorineFree AFoam ServiceFree Fire Extinguisher.jpg,,,,6ltr,,,,"£207.77 inc VAT

£173.14 ex VAT","£203.62 inc VAT

£169.68 ex VAT","£197.38 inc VAT

£164.48 ex VAT",,,12 bar at 20 °C,,,,,,,,,,,"34A, 13B*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foam Extinguishers,https://www.safelincs.co.uk/britannia-6ltr-fluoro-free-foam/,P50 Fluorine-Free A-Foam Service-Free Fire Extinguisher,BEFW6EFAS,Britannia Fire,570 x 178mm,,,+5 °C to +60 °C,,8.50kg,P50 A-Foam Fluorine-Free Service-Free Fire Extinguisher Datasheet,P50 FluorineFree AFoam ServiceFree Fire Extinguisher.jpg,,,,6ltr,,,,"£207.77 inc VAT

£173.14 ex VAT","£203.62 inc VAT

£169.68 ex VAT","£197.38 inc VAT

£164.48 ex VAT",,,12 bar at 20 °C,,,,,,,,,,,"34A, 13B*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foam Extinguishers,https://www.safelincs.co.uk/product_reviews.php?pid=5719,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foam Extinguishers,https://www.safelincs.co.uk/britannia-6ltr-fluoro-free-foam/,P50 Fluorine-Free A-Foam Service-Free Fire Extinguisher,BEFW6EFAS,Britannia Fire,570 x 178mm,,,+5 °C to +60 °C,,8.50kg,P50 A-Foam Fluorine-Free Service-Free Fire Extinguisher Datasheet,P50 FluorineFree AFoam ServiceFree Fire Extinguisher.jpg,,,,6ltr,,,,"£207.77 inc VAT

£173.14 ex VAT","£203.62 inc VAT

£169.68 ex VAT","£197.38 inc VAT

£164.48 ex VAT",,,12 bar at 20 °C,,,,,,,,,,,"34A, 13B*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foam Extinguishers,https://www.safelincs.co.uk/britannia-6ltr-fluoro-free-b-foam/,P50 Fluorine-Free B-Foam Service-Free Fire Extinguisher,BEFW6EFBAS,Britannia Fire,570 x 178mm,,,+5 °C to +60 °C,,8.50kg,P50 B-Foam Fluorine-Free Service-Free Fire Extinguisher Datasheet.pdf,P50 FluorineFree BFoam ServiceFree Fire Extinguisher.jpg,,,,6ltr,,,,"£231.71 inc VAT

£193.09 ex VAT","£227.08 inc VAT

£189.23 ex VAT","£220.13 inc VAT

£183.44 ex VAT",,,12 bar at 20 °C,,,,,,,,,,,"27A, 144B, 25F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foam Extinguishers,https://www.safelincs.co.uk/britannia-6ltr-fluoro-free-b-foam/,P50 Fluorine-Free B-Foam Service-Free Fire Extinguisher,BEFW6EFBAS,Britannia Fire,570 x 178mm,,,+5 °C to +60 °C,,8.50kg,P50 B-Foam Fluorine-Free Service-Free Fire Extinguisher Datasheet.pdf,P50 FluorineFree BFoam ServiceFree Fire Extinguisher.jpg,,,,6ltr,,,,"£231.71 inc VAT

£193.09 ex VAT","£227.08 inc VAT

£189.23 ex VAT","£220.13 inc VAT

£183.44 ex VAT",,,12 bar at 20 °C,,,,,,,,,,,"27A, 144B, 25F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foam Extinguishers,https://www.safelincs.co.uk/product_reviews.php?pid=5749,P50 Fluorine-Free B-Foam Service-Free Fire Extinguisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foam Extinguishers,https://www.safelincs.co.uk/britannia-6ltr-fluoro-free-b-foam/,P50 Fluorine-Free B-Foam Service-Free Fire Extinguisher,BEFW6EFBAS,Britannia Fire,570 x 178mm,,,+5 °C to +60 °C,,8.50kg,P50 B-Foam Fluorine-Free Service-Free Fire Extinguisher Datasheet.pdf,P50 FluorineFree BFoam ServiceFree Fire Extinguisher.jpg,,,,6ltr,,,,"£231.71 inc VAT

£193.09 ex VAT","£227.08 inc VAT

£189.23 ex VAT","£220.13 inc VAT

£183.44 ex VAT",,,12 bar at 20 °C,,,,,,,,,,,"27A, 144B, 25F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foam Extinguishers,https://www.safelincs.co.uk/britannia-p50-2ltr-foam/,P50 Service-Free 2ltr Foam Fire Extinguisher,"Unit Only:  BEFW2F

Unit, installation, site survey and certification:  BEFW2FAS",Britannia Fire,430 x 127mm,3 metre,18 sec,+5 °C to +60 °C,12 bar at 20 °C,2.80kg,"P50 2ltr Foam MSDS
P50-Product-Sheet
P50F2M 2ltr Foam Tech Datasheet",P50 ServiceFree 2ltr Foam Fire Extinguisher.jpg,,,,2 litre,,AFFF Foam,,,,,,,,,,,,,,,,,,,P50F2/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foam Extinguishers,https://www.safelincs.co.uk/britannia-p50-2ltr-foam/,P50 Service-Free 2ltr Foam Fire Extinguisher,"Unit Only:  BEFW2F

Unit, installation, site survey and certification:  BEFW2FAS",Britannia Fire,430 x 127mm,3 metre,18 sec,+5 °C to +60 °C,12 bar at 20 °C,2.80kg,"P50 2ltr Foam MSDS
P50-Product-Sheet
P50F2M 2ltr Foam Tech Datasheet",P50 ServiceFree 2ltr Foam Fire Extinguisher.jpg,,,,2 litre,,AFFF Foam,,,,,,,,,,,,,,,,,,,P50F2/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foam Extinguishers,https://www.safelincs.co.uk/product_reviews.php?pid=3141,P50 Service-Free 2ltr Foam Fire Extinguisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foam Extinguishers,https://www.safelincs.co.uk/britannia-p50-2ltr-foam/,P50 Service-Free 2ltr Foam Fire Extinguisher,"Unit Only:  BEFW2F

Unit, installation, site survey and certification:  BEFW2FAS",Britannia Fire,430 x 127mm,3 metre,18 sec,+5 °C to +60 °C,12 bar at 20 °C,2.80kg,"P50 2ltr Foam MSDS
P50-Product-Sheet
P50F2M 2ltr Foam Tech Datasheet",P50 ServiceFree 2ltr Foam Fire Extinguisher.jpg,,,,2 litre,,AFFF Foam,,,,,,,,,,,,,,,,,,,P50F2/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
