Source Category,URL,Title,Product Code,Brand,Dimensions (HxDia),Discharge Range,Discharge Time,Operating Temperature,Working Pressure,Weight,Product Datasheets,Image File,Alternative Product Codes,Storage Temperature,Warranty,Capacity,Discharge Range (min),Extinguisher Agent,Dielectrical Test,1 unit,2+ units,5+ units,Dimensions (HxWxDia),Temperature Range,Operating Pressure,Dimensions (HxWxD),Extinguisher ID Sign,Approvals,Extinguisher Contents,Dimensions,Empty Weight,Fire Rating,Hose Length,Maximum Allowable Pressure,Test Pressure,Extinguisher Rating,Manufacturer Part Number,Minimum Burst Pressure,Weight (inc. Cylinder),Kit Contents,Component,"""First Aid in an Emergency"" booklet",Cleansing Wipes,Waterproof Low Allergy Plasters – Pk 10,Disposable Non-Sterile Triangular Bandage 90 x 90 x130cm,HSE Medium Dressing – 12 x 12cm,HSE Large Dressing – 18 x 18cm,SJS Nitrile Powder Free Gloves (pair) – Medium,St. John Ambulance Finger Dressing,Extinguisher Ratings,Case Dimensions (HxWxD),Weave,Dimensions (HxW),Space volume suitable for,Back-Up Battery,Input Voltage,Relative Humidity,Activation Alerts,Detection,Extinguishing Agent,Fire Control Area,Fire Suppression Area,Installation Time,Legionella Control,External Dimensions (HxWxD),Internal Dimensions (HxWxD),Number of Fire Resistant Pads,Battery Suitability,Fabric Weight,Fire Type Suitability,Independent Testing,Internal Exposure Test,Lifespan,Material,Maximum Temperature,PFAS-Free,Certification,Number of Sockets,Door Swing,Handle Depth,Shelves,Construction,Dimensions (HxL),Item,Waterproof Low Allergy Plasters - Pk 10,HSE Medium Dressing - 12 x 12cm,HSE Large Dressing - 18 x 18cm,SJS Nitrile Powder Free Gloves (pair) - Medium,Medium Dressing 12x12cm,Traumafix Dressing 10x18cm,Low-Adherent Dressing 7.5x7.5cm,Triangular Bandage,Washproof Plasters (assorted) 10pk,Sterile Moist Cleansing Wipes 10pk,Nitrile Powder Free Gloves (pair),Revive-aid (Resuscitation mask with valve),Disposable Heat Retaining Foil Blanket,Burnshield® Burns Dressing 10x10cm,Tuff-Kut Scissors,"""First Aid in an Emergency"" Booklet",Burnshield® Burn Blott sachets (3.5g),Sterile Cleansing Wipes,HSE Medium Dressing (12 x 12cm),HSE Large Dressing (18 x 18cm),Resuscitation Face Shield,Green Plastic Tweezers,Microporous Tape (1.25cm x 10m),No. 16 Sterile Eye Pad Dressing,Non-Sterile Triangular Bandage (90 x 90 x 130cm),Eye Wash Phials (20ml),Dimensions (L),Max. Extinguisher Dimensions,Suitability,Recyclable
All Fire Extinguishers,https://www.safelincs.co.uk/2kg-abc-dry-powder-fire-extinguisher-ultrafire/,2kg Powder Fire Extinguisher - UltraFire,UFSP2,UltraFire,390 x 110mm,,>9 sec.,,14 bar,3.80kg,"UltraFire Powder Extinguishers Type A MSDS V1.0
            
              
  
  

ultrafire-powder-fire-extinguisher-datasheet-v1.5",2kg Powder Fire Extinguisher  UltraFire.jpg,,,,2kg,2m,ABC Dry Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fire Extinguishers,https://www.safelincs.co.uk/2kg-abc-dry-powder-fire-extinguisher-ultrafire/,2kg Powder Fire Extinguisher - UltraFire,UFSP2,UltraFire,390 x 110mm,,>9 sec.,,14 bar,3.80kg,"UltraFire Powder Extinguishers Type A MSDS V1.0
            
              
  
  

ultrafire-powder-fire-extinguisher-datasheet-v1.5",2kg Powder Fire Extinguisher  UltraFire.jpg,,,,2kg,2m,ABC Dry Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fire Extinguishers,https://www.safelincs.co.uk/product_reviews.php?pid=1218,2kg Powder Fire Extinguisher - UltraFire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fire Extinguishers,https://www.safelincs.co.uk/2kg-abc-dry-powder-fire-extinguisher-ultrafire/,2kg Powder Fire Extinguisher - UltraFire,UFSP2,UltraFire,390 x 110mm,,>9 sec.,,14 bar,3.80kg,"UltraFire Powder Extinguishers Type A MSDS V1.0
            
              
  
  

ultrafire-powder-fire-extinguisher-datasheet-v1.5",2kg Powder Fire Extinguisher  UltraFire.jpg,,,,2kg,2m,ABC Dry Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fire Extinguishers,https://www.safelincs.co.uk/kidde-multi-purpose-fire-extinguisher/,Kidde 2kg Multi-Purpose Fire Extinguisher,KEKSPD2G,Kidde,,,,,,3.70kg,PD2G_Data_Sheet,Kidde 2kg MultiPurpose Fire Extinguisher.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fire Extinguishers,https://www.safelincs.co.uk/kidde-multi-purpose-fire-extinguisher/,Kidde 2kg Multi-Purpose Fire Extinguisher,KEKSPD2G,Kidde,,,,,,3.70kg,PD2G_Data_Sheet,Kidde 2kg MultiPurpose Fire Extinguisher.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fire Extinguishers,https://www.safelincs.co.uk/product_reviews.php?pid=19,Kidde 2kg Multi-Purpose Fire Extinguisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fire Extinguishers,https://www.safelincs.co.uk/kidde-multi-purpose-fire-extinguisher/,Kidde 2kg Multi-Purpose Fire Extinguisher,KEKSPD2G,Kidde,,,,,,3.70kg,PD2G_Data_Sheet,Kidde 2kg MultiPurpose Fire Extinguisher.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fire Extinguishers,https://www.safelincs.co.uk/britannia-2kg-powder/,P50 Service-Free 2kg Powder Fire Extinguisher,BEFW2PAS,Britannia Fire,410x125mm,,22 sec.,-20 °C to +60 °C,12 bar at 20 °C,2.74kg,"P50 2kg Powder Datasheet
P50 2kg Powder MSDS
P50-Product-Sheet",P50 ServiceFree 2kg Powder Fire Extinguisher.jpg,,,,2kg,,ABC Dry Powder,,"£68.39 inc VAT

£56.99 ex VAT","£67.02 inc VAT

£55.85 ex VAT","£64.97 inc VAT

£54.14 ex VAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fire Extinguishers,https://www.safelincs.co.uk/britannia-2kg-powder/,P50 Service-Free 2kg Powder Fire Extinguisher,BEFW2PAS,Britannia Fire,410x125mm,,22 sec.,-20 °C to +60 °C,12 bar at 20 °C,2.74kg,"P50 2kg Powder Datasheet
P50 2kg Powder MSDS
P50-Product-Sheet",P50 ServiceFree 2kg Powder Fire Extinguisher.jpg,,,,2kg,,ABC Dry Powder,,"£68.39 inc VAT

£56.99 ex VAT","£67.02 inc VAT

£55.85 ex VAT","£64.97 inc VAT

£54.14 ex VAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
